AL,275,20
AK,370,26
AZ,240,26
AR,451,16
CA,450,26
CO,618,26
CT,649,26
DE,400,26
DC,444,26
FL,275,12
GA,365,26
HI,648,26
ID,448,20
IL,484,26
IN,390,26
IA,481,26
KS,488,16
KY,552,26
LA,247,26
ME,445,26
MD,430,26
MA,823,26
MI,362,26
MN,740,26
MS,235,26
MO,320,20
MT,552,28
NE,440,26
NV,469,26
NH,427,26
NJ,713,26
NM,511,26
NY,504,26
NC,350,12
ND,618,26
OH,647,26
OK,539,26
OR,648,26
PA,572,26
RI,732,26
SC,326,20
SD,414,26
TN,275,26
TX,521,26
UT,580,26
VT,513,26
VA,378,26
WA,790,26
WV,424,26
WI,370,26
WY,508,26
