AL,7/16/2020,all,none
AK,4/24/2020,all,both
AZ,5/8/2020,employee,none
AR,7/20/2020,all,both
CA,6/18/2020,all,none
CO,7/16/2020,all,none
CT,4/20/2020,all,none
DE,5/1/2020,all,both
DC,4/17/2020,all,fines
FL,5/11/2020,employee,none
GA,4/27/2020,employee,none
HI,4/16/2020,all,charge
IL,5/1/2020,all,fines
IN,7/27/2020,all,none
KS,7/3/2020,all,none
KY,5/11/2020,all,none
LA,5/1/2020,employee,both
ME,5/1/2020,all,fines
MD,4/18/2020,all,both
MA,5/6/2020,all,fines
MI,4/27/2020,all,both
MN,7/24/2020,all,none
MS,8/5/2020,all,none
NE,5/4/2020,employee,none
NV,6/26/2020,all,both
NH,5/1/2020,employee,none
NJ,4/8/2020,all,both
NM,5/15/2020,all,none
NY,4/17/2020,all,fines
NC,6/26/2020,all,charge
ND,4/28/2020,employee,none
OH,7/23/2020,all,none
OR,7/1/2020,all,none
PA,7/1/2020,all,none
RI,4/18/2020,all,none
SC,8/3/2020,employee,both
TX,7/3/2020,all,fines
UT,4/10/2020,all,none
VT,8/1/2020,all,none
VA,5/29/2020,all,charge
WA,6/26/2020,all,both
WV,7/7/2020,all,none
WI,8/1/2020,all,fines
WY,5/1/2020,employee,none
